Désignation;Référence; PU.HT ;;;;;
CONFECTION FLEXIBLE;5/8 LG=0,80 FF JIC; 131,60   ;;;;;
CONFECTION FLEXIBLE;5/8 LG=0,50 FF JIC; 117,78   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=0,60 MT FF JIC; 146,39   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=0,40 MT FF; 133,92   ;;;;;
CONFECTION FLEXIBLE;5/16 LG=0,36 MT FF JIC; 86,79   ;;;;;
CONFECTION FLEXIBLE;5/16 LG=0,90 MT FF JIC; 108,81   ;;;;;
TUYAU ;"1""1/4 NOIR"; 126,75   ;;;;;
COLLIER ROBUSTE;43-47; 19,63   ;;;;;
TECALENT;4X6 BLANC; 8,21   ;;;;;
TECALENT;4X6 BLANC; 8,21   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X1,5MM2; 9,58   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X1,5MM2; 6,25   ;;;;;
BOUTON POUSSOIRE;; 12,50   ;;;;;
PROJECTEUR SOLAIRE;300W; 733,33   ;;;;;
PROJECTEUR HALLOGENE;500W; 100,00   ;;;;;
FILTRE HYDRAULIQUE;; 525,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
CLE MALE COUDE;10MM; 25,00   ;;;;;
CLE MALE COUDE;12MM; 35,00   ;;;;;
VIS ;BRT 12X35; 4,00   ;;;;;
VIS;BTR 14X35; 5,00   ;;;;;
VIS;BTR 10X40; 3,20   ;;;;;
CAROTTIER ;101T6 LG=3000mm; 9 958,33   ;;;;;
COURONNE IMPREGNEE;101T6 VV6; 5 416,67   ;;;;;
MANCHON ALESEUR;101T6; 1 250,00   ;;;;;
PORTE EXTRACTEUR;101T6; 416,67   ;;;;;
EXTRACTEUR;101T6; 350,00   ;;;;;
MANCHON ALESEUR;131T6; 4 480,00   ;;;;;
EXTRACTEUR;; 130,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
HUILE ;DTE 26 208LT; 8 200,00   ;;;;;
LOCATION CAMION PLATEAU;02 BASSINS; 4 500,00   ;;;;;
MANCHON PEHD;50X50; 58,00   ;;;;;
TUBE PEHD;50 PN16; 22,50   ;;;;;
TUBE PEHD;32 PN10; 9,20   ;;;;;
TUBE GALVANISEE;"1"" SERIE 1"; 68,50   ;;;;;
MANCHON PEHD;32X32; 22,50   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGEES AVEC COUVERCLE; 195,00   ;;;;;
LOCATION CAMION PORTE CHARS;MACHINE SANY SR265; 30 000,00   ;;;;;
LOCATION CAMION PLATEAU;KELLY SANY SR265; 10 000,00   ;;;;;
TETE FILIERE;"1"" VIRAX"; 580,00   ;;;;;
CLE A GRIFFE;138-24 VIRAX; 500,00   ;;;;;
CLE A GRIFFE;138-36 VIRAX; 1 400,00   ;;;;;
CHAUSSURE DE SECURITE;BASSE; 240,00   ;;;;;
GANT EN CUIR;DOKER; 22,00   ;;;;;
CHIFFON COULEUR;; 8,00   ;;;;;
CHIFFRE ZINC A POCHER;70MM; 70,00   ;;;;;
LETTRE ZINC A POCHER;70MM; 180,00   ;;;;;
BOULON;BTR TC 10X35; 3,00   ;;;;;
COURONNE IMPREGNEE;131T6; 6 075,00   ;;;;;
EXTRACTEUR;131T6; 570,00   ;;;;;
CONFECTION FLEXIBLE;"1""1/4 LG=1,50MT"; 739,32   ;;;;;
CONFECTION FLEXIBLE;"1"" LG= 3MT"; 720,53   ;;;;;
JOINT TORIQUE;145,24X6,99; 13,02   ;;;;;
JOINT TORIQUE;68,26X3,53; 6,13   ;;;;;
JOINT TORIQUE;69,85X3,53; 6,54   ;;;;;
GASOIL;; 11,75   ;;;;;
VANNE A BILLE;"2"" SIRAL"; 458,33   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 150,00   ;;;;;
RACCORD PEHD;"50X1""1/2 MALE"; 80,50   ;;;;;
MANCHON REDUIT PEHD;63X50; 90,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGEES AVEC COUVERCLE; 195,00   ;;;;;
CONFECTION EMMENCHEMENT;D 100 LG=600MM AVEC TRAITEMENT; 7 000,00   ;;;;;
CONFECTION REDUCTION;60 CONIQUE F; 1 000,00   ;;;;;
CONFECTION MORS;70X100X15 AVEC TRAITEMENT; 400,00   ;;;;;
CONFECTION GUIDE EN ACIER;D  EXT 146 D INT 132 LG=300MM; 500,00   ;;;;;
BOUTEILLE D'AIR COMPRIME;R410; 1 083,34   ;;;;;
BOUTEILLE D'AIR COMPRIME;R410; 1 083,34   ;;;;;
BOUTEILLE D'AIR COMPRIME;R22; 1 083,34   ;;;;;
VIS;HR 16X60; 7,00   ;;;;;
SILICONE;; 20,00   ;;;;;
BOULON;HR 18X60 A/E+RONDELLE; 12,00   ;;;;;
CONFECTION D'UN BLOC;76 M X60 CONIQUE F POUR CAROTTIER; 1 600,00   ;;;;;
CONFECTION D'UN REDUCTION;76 M X60 CONIQUE M; 1 500,00   ;;;;;
CONFECTION D'UN ECROU;S/M; 400,00   ;;;;;
CONFECTION D'UN ACCOUPLEMENT;S/M; 200,00   ;;;;;
CONFECTION D'UN BOULON ET ECROU;S/M; 70,00   ;;;;;
CONFECTION MORS;D 60MM; 400,00   ;;;;;
BRIDE;"1""1/2 PN10-8T"; 93,50   ;;;;;
BRIDE;"2"" PN10-8T"; 120,00   ;;;;;
TRAITEMENT CHEMISE;; 60,00   ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
TAPIS EN CAOUATCHOUC;300/100/30MM; 100,00   ;;;;;
LOCATION VEHICULE DE PERSONNEL;PERIODE 08/2024; 442,30   ;;;;;
LOCATION CAMION PLATEAU;SILO+ABRIS; 4 500,00   ;;;;;
GASOIL;; 10,44   ;;;;;
OXYGENE;; 46,69   ;;;;;
ROULEMENT A GALET;NATR 40 NUTRAL; 166,67   ;;;;;
ARRET D'HUILE;130X150X13; 66,67   ;;;;;
ARRET D'HUILE;50X65X8; 20,00   ;;;;;
ROULEMENT A BILLE;6207 2RS C3 ; 26,63   ;;;;;
BATTERIE;12V 103AH L5; 1 041,67   ;;;;;
BATTERIE;12V175AH M15; 1 583,33   ;;;;;
PAPIER JOINT;1MM; 41,67   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X2,5MM2; 7,50   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X4MM2; 22,08   ;;;;;
CONNECTEUR ;70MM; 25,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
BANDE DE GUIDAGE;15X2,5; 420,00   ;;;;;
JOINT PISTON HYDRAULIQUE DOUBLE EFFET;CP 180X159X8; 330,00   ;;;;;
JOINT PISTON HYDRAULIQUE DOUBLE EFFET;XT 80X9510X63; 180,00   ;;;;;
CONFECTION PALIER;1X25; 200,00   ;;;;;
JOINT TORIQUE;169,02X5,7; 32,00   ;;;;;
JOINT TORIQUE;200X3; 30,00   ;;;;;
BATTERIE;12V; 833,33   ;;;;;
VIS;BTR 10X50; 3,00   ;;;;;
VIS;BTR 10X70; 4,00   ;;;;;
BOULON;HR 12X70 A/E+RONDELLE; 5,00   ;;;;;
ROULEMENT A BILLE;6210 2RS C3 Z2V2 GULLMAN; 100,00   ;;;;;
ROULEMENT A BILLE;6213 2RS C3 KG; 120,00   ;;;;;
ENTRETIEN VEHICULE;VIDANGE FILTRES; 975,00   ;;;;;
TUBE PEHD;25 PN16; 8,33   ;;;;;
MANCHON REDUIT PEHD;32X25; 33,33   ;;;;;
RACCORD PEHD;25X3/4 MALE; 12,50   ;;;;;
TAPIS EN CAOUATCHOUC;3000/500/10MM; 975,00   ;;;;;
TAPIS EN CAOUATCHOUC;400/400/10; 150,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
SCOTCH NOIR;GM; 8,50   ;;;;;
COUDE PEHD;90X90; 150,00   ;;;;;
RECHARGE CARTE CARBURANT;N°21742976; 4 545,45   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
FORET CONIQUE;HSS 20MM; 160,00   ;;;;;
TUBE PVC;160 PN10; 102,00   ;;;;;
COLLE ;PVC 1KG; 90,00   ;;;;;
RIVET;POP 4X20; 0,30   ;;;;;
BATTERIE;12V175AH M15; 1 583,33   ;;;;;
BATTERIE;12V175AH M15; 1 583,33   ;;;;;
BATTERIE;12V100A L5; 1 041,33   ;;;;;
BATTERIE;12V100A L5; 1 041,33   ;;;;;
ANTIGEL;5LT; 58,33   ;;;;;
FILTRE A HUILE;DUSTER; 25,00   ;;;;;
BATTERIE;12V100A L5; 1 041,67   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
LOCATION CAMION PORTE CHARS;SONDEUSE COMACCHIO GE 900; 4 000,00   ;;;;;
TAILLANT A BOUTON ;"165 CC SD6/TH 6""1/2"; 4 500,00   ;;;;;
CARTOUCHE D'IMPRIMANTE;HP 953XL NOIR; 725,00   ;;;;;
CARTOUCHE D'IMPRIMANTE;HP 953XL COULEUR; 541,67   ;;;;;
TOLE STRIEE;1250X250X5/7 02 UNITES; 12,20   ;;;;;
CORNNIERE;40X40X5 EN 6 MT 06 UNITES; 8,10   ;;;;;
FILTRE A GASOIL;FF5380; 316,00   ;;;;;
FILTRE A GASOIL;P551066; 384,00   ;;;;;
FILTRE A GASOIL;KRE 2301E; 216,00   ;;;;;
FILTRE A AIR;S7558A /S7559A; 1 280,00   ;;;;;
BANDE DE GUIDAGE;15X2,5; 420,00   ;;;;;
JOINT PISTON HYDRAULIQUE DOUBLE EFFET;CP 180X159X8; 330,00   ;;;;;
JOINT PISTON HYDRAULIQUE DOUBLE EFFET;XT 80X9510X63; 180,00   ;;;;;
CONFECTION PALIER;1X25; 200,00   ;;;;;
JOINT TORIQUE;169,02X5,7; 32,00   ;;;;;
JOINT TORIQUE;200X3; 30,00   ;;;;;
JOINT A LEVRE HYDRAULIQUE;40X55X9; 24,00   ;;;;;
JOINT RACLEUR A CAGE METALLIQUE;40X50X5/8; 31,20   ;;;;;
JOINT DE PISTON DOUBLE EFFET HYDRAULIQUE;DAS 63X51X20; 69,00   ;;;;;
JOINT CHEVRON;70X90X40; 421,80   ;;;;;
JOINT TORIQUE;56,7X3,53; 3,50   ;;;;;
ARRET D'HUILE;40X50X4; 25,20   ;;;;;
CONFECTION AXE;D 40  LG=820MM EN ACIER 42CDR; 820,00   ;;;;;
CONFECTION GUIDE EN NYLON;D 160 LG=50MM; 300,00   ;;;;;
CONFECTION TURBINE EN FONTE;D 240MM; 800,00   ;;;;;
CONFECTION PIGNON DE MOTEUR;BARBOTIN  DE CHENILLE; 1 200,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 4 424,78   ;;;;;
RECHARGE CARTE CARBURANT;N°28204236; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;N°2474694; 5 454,55   ;;;;;
TONER;HP 85A ADAPTABLE; 125,00   ;;;;;
RECHARGE CARTE JAWAZ;; 1 666,67   ;;;;;
ELECTROPOMPE;"NS 96/X23 1""1/4 SAER 2CH 220V"; 5 333,33   ;;;;;
COFFRET ELECTRIQUE;2CH 220V; 1 250,00   ;;;;;
PRESSOSTAT ;PN5; 54,18   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/25 BARS; 1 500,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 4 424,78   ;;;;;
TUBE PEHD;40 PN10; 9,80   ;;;;;
TUBE PEHD;32PN10; 9,00   ;;;;;
MANCHON REDUIT PEHD;512 PEHD 40X32; 48,00   ;;;;;
MANCHON PEHD;40X40X40; 43,00   ;;;;;
COUDE PEHD;513 PEHD 40X40; 27,00   ;;;;;
TE PEHD;514 PEHD 40X40; 45,00   ;;;;;
RACCORD REDUIT PEHD;"511 PEHD 40x1""1/4"; 25,00   ;;;;;
CORDE EN NYLON;D 12MM; 5,00   ;;;;;
VANNE PEHD;32; 70,00   ;;;;;
CLAPET ANTI-RETOUR;"1""1/4"; 58,33   ;;;;;
CORDE EN NYLON;D 12MM; 5,00   ;;;;;
CABLE ELECTRIQUE SOUPLE;3X1MM2; 5,83   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X2,5MM2; 12,58   ;;;;;
ELECTRODE DE NIVEAU;; 31,67   ;;;;;
RESIGNEUSE;M11; 100,00   ;;;;;
RESIGNEUSE;M12; 150,00   ;;;;;
RESIGNEUSE;M11; 100,00   ;;;;;
RECHARGE CARTE CARBURANT;N°1844291; 5 454,55   ;;;;;
POMPE IMMERGEE;SP 40-18 HP 4 380V STAIRS; 5 500,00   ;;;;;
REMISE EN ETAT POMPE D'INJECTION;HP DUSTER; 4 500,00   ;;;;;
RECHARGE CARTE JAWAZ;; 1 666,67   ;;;;;
ACCOUPLEMENT;S/M; 1 000,00   ;;;;;
DEMARREUR ;DUSTER; 400,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
ARRET D'HUILE;130X150X12; 40,00   ;;;;;
VIS;BTR 16X50; 7,00   ;;;;;
RESIGNEUSE;M11; 100,00   ;;;;;
SCOTCH NOIR;GM; 7,50   ;;;;;
FICHE MALE;3P+T 63A; 358,33   ;;;;;
PROLONGATEUR;3P+T 63A; 400,00   ;;;;;
RELAIS DE PHASE;; 291,67   ;;;;;
COSSE A SERTIR;25 MM; 3,75   ;;;;;
CABLE GALVANISEE;D 12MM; 15,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 15 000,00   ;;;;;
VIS ;BTR 14X80 A/E+RONDELLE; 8,00   ;;;;;
VIS;BTR 5X20 A/E; 0,70   ;;;;;
ECROU;D 14MM; 1,20   ;;;;;
COURONNE IMPREGNEE;101T6 A9; 3 980,00   ;;;;;
EXTRACTEUR ;101T6; 315,00   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
EMBOUT PVC;3/4X16 MALE; 2,00   ;;;;;
RACCORD PE;3/4X20 MALE; 4,00   ;;;;;
COLLIER PEC;40X3/4; 10,00   ;;;;;
MANCHON PEHD;40X40; 29,17   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
CONFECTION FLEXIBLE;"1""  LG= 6MT FF BSP"; 661,60   ;;;;;
CONFECTION FLEXIBLE;"1"" HP LG= 6MT FF BSP"; 1 349,58   ;;;;;
CONFECTION FLEXIBLE;3/4 HP LG= 6 MT FF BSP; 945,72   ;;;;;
ADAPTEUR;"1"" A GAZ"; 42,00   ;;;;;
ADAPTEUR;3/4 A GAZ; 29,25   ;;;;;
DISTRIBUTEUR MANUELLE;2 ELEMENTS 95I; 2 850,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
LOCATION VEHICULE DE PERSONNEL;; 442,30   ;;;;;
ROULEMENT A BILLE;6013 ZZ C3 ROLLWAY; 150,60   ;;;;;
ROULEMENT A BUTEE;51213 CMB; 52,20   ;;;;;
JOINT TORIQUE;81,92X5,33 NBR; 10,50   ;;;;;
ARRET D'HUILE;60X75X10; 13,20   ;;;;;
CIRCLIPS;INT 85; 11,94   ;;;;;
JOINT TORIQUE;120,02X6,99; 16,95   ;;;;;
JOINT TORIQUE;78X3,53; 3,75   ;;;;;
JOINT TORIQUE;88,57X2,62; 7,00   ;;;;;
CHEVRON;60X80X37; 357,50   ;;;;;
CONTACTEUR ;LC1 D32 380V; 666,67   ;;;;;
ACCOUPLEMENT;S/M; 1 000,00   ;;;;;
POLIS;S/M; 500,00   ;;;;;
MANCHON;S/M; 300,00   ;;;;;
ADAPTEUR;3/4 A GAZ; 29,33   ;;;;;
ADAPTEUR;13x3/4 A GAZ; 68,00   ;;;;;
JOINT A GAZ;"3/4"" JCP"; 10,71   ;;;;;
TUYAU NOIR;"2"""; 389,47   ;;;;;
TUYAU NOIR;"1""1/4"; 195,00   ;;;;;
COLLIER ROBUSTE;43-47; 19,63   ;;;;;
COLLIER ROBUSTE;63-68; 21,00   ;;;;;
ADAPTEUR;"1""x3/4 A GAZ"; 47,60   ;;;;;
CONTACTEUR ;LC1 D25 380V; 450,00   ;;;;;
RLAIS THERMIQUE;LRD 12à18A; 350,00   ;;;;;
PEINTURE;BLANC CASA MILAFLEX; 70,00   ;;;;;
PEINTURE;NOIR DIAMANT PROFLEX; 80,00   ;;;;;
PEINTURE;BLEU France MILAFLEX; 70,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO; 23,00   ;;;;;
SCOTCH BLANC;19X50 MAESTRO; 10,00   ;;;;;
FILTRE A HUILE;LF 4054; 144,00   ;;;;;
FILTRE A GASOIL;FF574; 64,00   ;;;;;
FILTRE A AIR;AF 4058; 624,00   ;;;;;
FILTRE A AIR;S2650 A EXT; 384,00   ;;;;;
FILTRE A AIR;S2650 A INT; 228,00   ;;;;;
FILTRE A AIR;5L7942; 376,00   ;;;;;
FILTRE A GASOIL;FF5702; 304,00   ;;;;;
FILTRE SEPARATEUR GASOIL;FS1302; 384,00   ;;;;;
FILTRE A HUILE;LF 4054; 144,00   ;;;;;
MANCHON ;"1"" NOIR EE"; 20,00   ;;;;;
CONFECTION FLEXIBLE;5/8 LG= 3MT FF; 443,14   ;;;;;
CONFECTION FLEXIBLE;5/8 LG=5,30 FF; 688,20   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=6,20 MT FF; 713,68   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=2 MT D/C 90°; 305,87   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=1 MT D/C 90°; 210,87   ;;;;;
CONFECTION FLEXIBLE;5/16 LG=5,70 MT FF; 255,37   ;;;;;
TECALENT;4X6 BLANC; 8,21   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 161,00   ;;;;;
MANCHON;"1"" NOIR EE"; 20,00   ;;;;;
TUYAU ;DN 3/8; 33,07   ;;;;;
COLLIER MICALOR;12-22MM; 4,20   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1,44 MT FF; 139,48   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
GASOIL;; 10,25   ;;;;;
GASOIL;; 10,25   ;;;;;
DISQUE A COUPER;230X3,20; 13,00   ;;;;;
BAGUETTE EN BRONZE;D3MM; 220,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
ELECTRODE;S 2000 3,15; 110,00   ;;;;;
ELECTRODE;E 312-17 D 4MM CASTOLIN; 330,00   ;;;;;
POUDRE DE BRASAGE;150 GRS; 10,00   ;;;;;
CLE MALE COUDE;1 A 10 MM; 200,00   ;;;;;
CHIFFON COULEUR;; 8,00   ;;;;;
CHIFFON COULEUR;; 8,00   ;;;;;
MANILLE GALVANISEE;4T; 95,00   ;;;;;
SCOTCH D'EMBALLAGE;50X100; 13,00   ;;;;;
CLE A PIPE;36; 220,00   ;;;;;
ARRET D'HUILE;80X110X10; 19,80   ;;;;;
JOINT CHEVRON;70X85X22,5; 283,80   ;;;;;
ROULEMENT A BILLE;6015 ZZ 3C NSK; 236,40   ;;;;;
ROULEMENT A BUTEE;51116 ROLLWAY; 166,20   ;;;;;
CIRCLIPS;INT 85; 11,40   ;;;;;
ARRET D'HUILE;130X160X15; 52,80   ;;;;;
JOINT DE PISTON DOUBLE EFFET HYDRAULIQUE;DAS 80X60X22; 85,80   ;;;;;
JOINT A LEVRE HYDRAULIQUE;G 40X50X10; 34,20   ;;;;;
JOINT RACLEUR SOUPLE;40X48X5; 13,80   ;;;;;
JOINT TORIQUE;71X4; 3,50   ;;;;;
JOINT TORIQUE;37,69X3,353; 3,50   ;;;;;
GALET DE CAME;KR52 PPX DIVERS; 270,00   ;;;;;
RECHARGE CARTE CARBURANT;N°21742976; 4 545,45   ;;;;;
REDUCTION ;CR 60 ROD F X 60 N/ROD F; 1 800,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE; 195,00   ;;;;;
REGULATEUR;12V; 800,00   ;;;;;
SUPPORT FILTRE A GASOIL;COMPLET DEUTZ 1302; 1 200,00   ;;;;;
UNION DROIT;12-1/4L; 14,00   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=0,45MT FF; 144,80   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=0,77MT FF; 174,65   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1MT D/C 90°; 218,69   ;;;;;
CONFECTION FLEXIBLE;"1"" LG=1,70MT F/F 45°"; 582,18   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 16,10   ;;;;;
COUDE;12-3/8l; 42,00   ;;;;;
REPARATION FLEXIBLE;"1""1/2 COTE BAGUE"; 98,72   ;;;;;
DURITE D'EAU CHAUD;D 60 100C°; 160,00   ;;;;;
CONFECTION FLEXIBLE;"1"" LG=1,70MT F/F 45°"; 582,18   ;;;;;
TUYAU ;7,5X12,5 BP; 52,50   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
GANT EN CUIR;DOKER; 22,00   ;;;;;
DEGRIPANT;; 40,00   ;;;;;
LAMPE HALLOGENE;500W; 30,00   ;;;;;
SCOTCH NOIR;GM; 10,00   ;;;;;
COLLIER COLSON;7,6X300; 0,50   ;;;;;
MANCHON;32 MM; 140,19   ;;;;;
ECROU;32 MM; 65,10   ;;;;;
TUBE DOUBLE PAROI;D75 EN 6MT; 15,00   ;;;;;
FILTRE A GASOIL;FS1212; 228,80   ;;;;;
FILTRE A GASOIL;1R750; 148,00   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=3MT FF BSP; 530,57   ;;;;;
ADAPTEUR;3/4 A GAZ; 29,40   ;;;;;
PC PORTABLE;POUR SYSTÈME SEPI ET LUGEOGRAPHE; 3 700,00   ;;;;;
LOGICIEL D'EXPLOITATION ;POUR SYSTÈME SEPI ET LUGEOGRAPHE; 1 800,00   ;;;;;
FILTRE A GASOIL;1R750; 148,00   ;;;;;
FILTRE A HUILE;LF3000; 464,00   ;;;;;
FILTRE A EAU;WF2073; 200,00   ;;;;;
ROULEMENT A BILLE;6013 ZZ NSK; 169,00   ;;;;;
ROULEMENT A BUTEE;51213 CMB; 52,20   ;;;;;
JOINT TORIQUE;81,92X5,33 NBR; 10,50   ;;;;;
ARRET D'HUILE;60X75X10; 13,20   ;;;;;
CIRCLIPS;INT 85; 11,40   ;;;;;
JOINT CHEVRON;60X80X37; 550,00   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=3000MM; 10 750,00   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=3000MM; 10 750,00   ;;;;;
PORTE EXTRACTEUR;101T6; 310,00   ;;;;;
EXTRACTEUR ;101T6; 315,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
CONFECTION PIGNON;S/M; 700,00   ;;;;;
CONFECTION PIGNON;42CD4+TRAITEMENT; 1 200,00   ;;;;;
CONFECTION AXE;; 400,00   ;;;;;
CONFECTION COURONNE DE CHENILLE BARBETAIN;; 4 000,00   ;;;;;
CONFECTION D'EMMENCHEMENT;S/M; 7 000,00   ;;;;;
TRACONNAGE,DRESSAGE CAROUTTIER;101T6 LG=3000MM; 600,00   ;;;;;
LOCATION CAMION PORTE CHARS;; 1 769,91   ;;;;;
ROULEMENT A GALET ;EC 12218 UA SNR ; 700,00   ;;;;;
ARRET D'HUILE;45X62X7 A VITON; 250,00   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=3000MM CR60; 10 750,00   ;;;;;
FILTRE A GASOIL;1R 750; 148,00   ;;;;;
FILTRE A HUILE;LF3000; 464,00   ;;;;;
FILTRE SEPARATEUR GASOIL;WF2073; 200,00   ;;;;;
JOINT EN CAOUATCHOUC;D 86X130/126 X43MM; 82,50   ;;;;;
COURONNE IMPREGNEE;101T6 VV6; 5 416,67   ;;;;;
GASOIL;; 10,44   ;;;;;
FER PLAT;20 EP 10MM EN 6MT; 230,00   ;;;;;
TIGE CHROME;D 75 LG=1800MM; 2 970,00   ;;;;;
ENTRETIEN REDUCTEUR;; 2 733,33   ;;;;;
FILTRE A HUILE;FL 670=600-211-1231; 336,00   ;;;;;
FILTRE A HUILE;LF 4054; 144,00   ;;;;;
FILTRE A GASOIL;FF574; 64,00   ;;;;;
FILTRE A HUILE;28175/01182001; 220,00   ;;;;;
FILTRE A GASOIL;M361 MISFAT/FF1117; 56,00   ;;;;;
FILTRE A HUILE;1182001; 168,00   ;;;;;
FILTRE A GASOIL;M323; 64,00   ;;;;;
ACIER CREUX;170X140 LG= 160 MMS355J2H; 370,00   ;;;;;
CHAUSSURE DE SECURITE;HAUT P41-P42-P43-P45; 240,00   ;;;;;
BOTTE;VERT; 73,00   ;;;;;
IMPERMEABLE;JAUNE VESTE ET PANTALON; 135,00   ;;;;;
GILET FLUORESCENT;VERT; 23,00   ;;;;;
CLE A CHAINE;"1/4 à 6"" VIRAX"; 2 600,00   ;;;;;
FILTRE A AIR;335; 464,00   ;;;;;
FILTRE A AIR;380; 304,00   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=2MT-D/C 90°; 150,32   ;;;;;
MANOMETRE;10 BARS D 63; 110,00   ;;;;;
ADAPTEUR;7/16-20X1/8NPT JIC; 49,00   ;;;;;
TUYAU D'ECHAPPEMENT;D 100MM; 280,00   ;;;;;
HUILE ;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
HUILE;HD 90 20LT; 652,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
RECHARGE CARTE CARBURANT;N°2474694; 5 454,55   ;;;;;
POMPE IMMERGEE;"NS-96/B22 3CH 1""1/4 SAER 380V"; 5 500,00   ;;;;;
TABLEAU DE COMMANDE;380V 3HP; 1 500,00   ;;;;;
POMPE A EAU;BP/5 2CH 1,5KW 220V SAER; 2 458,33   ;;;;;
POMPE IMMERGEE;"NS-96/C28 4CH 3KW 2"" SAER 380V"; 7 000,00   ;;;;;
TABLEAU DE COMMANDE;380V 4HP; 1 500,00   ;;;;;
ANTIGEL;G4033 VASCO 20LT; 540,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
JOINT TORIQUE;; 3,50   ;;;;;
ARRET D'HUILE;; 25,20   ;;;;;
JOINT A LEVRE HYDRAULIQUE;; 51,00   ;;;;;
JOINT RACLEUR A CAGE METALLIQUE;; 31,20   ;;;;;
JOINT DE PISTON DOUBLE EFFET HYDRAULIQUE;; 69,00   ;;;;;
JOINT CHEVRON;; 421,80   ;;;;;
ROULEMENT A BILLE;6006 ZZ C3 ROLLWAY; 30,00   ;;;;;
ROULEMENT A GALET DE CAME;KR40 PPX; 280,00   ;;;;;
SQUELETTE MOTEUR;CUMINS; 20 833,33   ;;;;;
TUBE PEHD;50 PN16; 22,50   ;;;;;
RACCORD PEHD;"50X2"" MALE"; 92,00   ;;;;;
RACCORD PEHD;"50X2"" MALE"; 92,00   ;;;;;
TUBE PEHD;50 PN16; 22,50   ;;;;;
CORDE EN NYLON;D 12MM; 5,00   ;;;;;
